Sample,Ref,Ophiolite,Location/Unit,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Age_estimate_type,Age_ref,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
025,[34],Lueyang,,,,Gabbro,WR,MOR,350,Biostratigraphy,Feng et al. 1996,Paleo-Tethys,Paleo-Tethys,A'nyemaqen - Mian-Lue,Syn-Godwana and Pre-Pangea,1.78,4.87,,0.2224,0.513225,,,10.3,,,,,,,0.27,0.04,0.02,9.46,4.58,,17.455,15.574,37.457,17.2,15.56,37.292,,,,,,,,
026,[34],Lueyang,,,,Basalt,WR,MOR,350,Biostratigraphy,Feng et al. 1996,Paleo-Tethys,Paleo-Tethys,A'nyemaqen - Mian-Lue,Syn-Godwana and Pre-Pangea,2.68,6.73,,0.2425,0.513194,,,8.8,,,,,,,3.21,0.08,0.03,1.56,0.57,,16.949,15.457,36.694,16.917,15.455,36.667,,,,,,,,
028,[34],Lueyang,,,,Basalt,WR,MOR,350,Biostratigraphy,Feng et al. 1996,Paleo-Tethys,Paleo-Tethys,A'nyemaqen - Mian-Lue,Syn-Godwana and Pre-Pangea,2.44,6.5,,0.2285,0.51313,,,8.1,,,,,,,1.91,0.04,0.03,1.33,0.96,,17.257,15.532,37.14,17.203,15.529,37.117,,,,,,,,
YP11-pl,[34],Lueyang,,,,Plagioclase,Plagioclase,MOR,350,Biostratigraphy,Feng et al. 1996,Paleo-Tethys,Paleo-Tethys,A'nyemaqen - Mian-Lue,Syn-Godwana and Pre-Pangea,0.19,0.41,,0.2819,0.513337,,,9.8,,,,,,,0.25,0.006,0.001,1.51,0.24,,17.193,15.485,37.004,17.179,15.484,36.978,,,,,,,,
LZK 1-3 ,[3],Ailaoshan (Laowangzai) ,,,,Basalt,WR,MOR,350,,Zhang et al. 2005,Paleo-Tethys,Paleo-Tethys,Jinshajiang-Ailaoshan,Syn-Godwana and Pre-Pangea,2.41,6.86,,0.2120,0.513191,,,9.80,15.41,119.60,0.37,0.71,,0.71,1.55,0.05,0.06,2.23,2.56,,18.48,15.68,38.66,18.34,15.67,38.62,,,,,,,,
MW-10 ,[3],Changning-Menglian,,,,Basalt,WR,OIB,350,,Zhang et al. 2005,Paleo-Tethys,Paleo-Tethys,Changning-Menglian - Longmuco,Syn-Godwana and Pre-Pangea,2.122,5.90,0.359721987,0.2174,0.513076,,,7.60,,,0.0060,0.70368,,0.70365,0.4615,0.1038,0.0430,14.40,5.78,,17.62,15.44,37.65,17.30,15.42,37.40,,,,,,,,
MX 1  3 ,[3],Changning-Menglian,,,,Basalt,WR,OIB,350,,Zhang et al. 2005,Paleo-Tethys,Paleo-Tethys,Changning-Menglian - Longmuco,Syn-Godwana and Pre-Pangea,3.626,11.6,0.312586207,0.1890,0.512894,,,5.30,,,0.0342,0.70498,,0.70481,0.5000,0.4234,0.1218,56.20,15.70,,18.62,15.54,39.22,17.75,15.50,38.24,,,,,,,,
GMC-14,[32],Gangmaco,,,,Basalt,WR,MOR,356,U-Pb,Zhai et al. 2013,Paleo-Tethys,Paleo-Tethys,Changning-Menglian - Longmuco,Syn-Godwana and Pre-Pangea,2.31,6.33,0.2207,0.513062,,15,,7.2,1.72,69.5,0.071,0.70406,12,0.7037,,,,,,,,,,,,,,,,,,,,
GMC081,[32],Gangmaco,,,,Gabbro,WR,SSZ,356,U-Pb,Zhai et al. 2013,Paleo-Tethys,Paleo-Tethys,Changning-Menglian - Longmuco,Syn-Godwana and Pre-Pangea,2.78,9.81,0.1715,0.512824,,10,,4.8,8.76,179,0.141,0.706544,14,0.70583,,,,,,,,,,,,,,,,,,,,
GMC083,[32],Gangmaco,,,,Gabbro,WR,SSZ,356,U-Pb,Zhai et al. 2013,Paleo-Tethys,Paleo-Tethys,Changning-Menglian - Longmuco,Syn-Godwana and Pre-Pangea,3.14,11.45,0.1659,0.512705,,6,,2.7,24.7,226,0.316,0.706009,18,0.70441,,,,,,,,,,,,,,,,,,,,
GMC084,[32],Gangmaco,,,,Cumulate Gabbro,WR,SSZ,356,U-Pb,Zhai et al. 2013,Paleo-Tethys,Paleo-Tethys,Changning-Menglian - Longmuco,Syn-Godwana and Pre-Pangea,2.2,8.19,0.1622,0.512696,,7,,2.7,18.4,199,0.267,0.706162,14,0.70508,,,,,,,,,,,,,,,,,,,,
15NL-56E,[35],Song Ma,,,,Amphibolites,WR,MOR,360,U-Pb,Zhang et al. 2021,,,,Syn-Godwana and Pre-Pangea,,,,0.2132,0.513048,,,7.22,,,0.0562,0.705028,,0.704732,,,,,,,,,,,,,,,,,,,,
15NL-57A,[35],Song Ma,,,,Amphibolites,WR,MOR,360,U-Pb,Zhang et al. 2021,,,,Syn-Godwana and Pre-Pangea,,,,0.2043,0.513047,,,7.63,,,0.175,0.706423,,0.705501,,,,,,,,,,,,,,,,,,,,
15NL-57C,[35],Song Ma,,,,Amphibolites,WR,MOR,360,U-Pb,Zhang et al. 2021,,,,Syn-Godwana and Pre-Pangea,,,,0.2006,0.51302,,,7.33,,,0.0872,0.70459,,0.70413,,,,,,,,,,,,,,,,,,,,
15NL-57F,[35],Song Ma,,,,Amphibolites,WR,MOR,360,U-Pb,Zhang et al. 2021,,,,Syn-Godwana and Pre-Pangea,,,,0.1965,0.513017,,,7.41,,,0.1042,0.705523,,0.704974,,,,,,,,,,,,,,,,,,,,
15NL-57J,[35],Song Ma,,,,Amphibolites,WR,MOR,360,U-Pb,Zhang et al. 2021,,,,Syn-Godwana and Pre-Pangea,,,,0.1975,0.512982,,,6.68,,,0.1127,0.70559,,0.704996,,,,,,,,,,,,,,,,,,,,
BR1,[36],Brevenne,,,,Basalt,WR,SSZ,366,Sm-Nd isochron,"Pin and Paquette, 1997",Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.15,14.9,0.27852349,0.169,0.512949,11,,7.3,4,275,0.039,0.70368,,0.7035,,,,,,,,,,,,,,,,,,,,
BR2,[36],Brevenne,,,,Basalt,WR,SSZ,366,Sm-Nd isochron,"Pin and Paquette, 1997",Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.38,21.6,0.249074074,0.1508,0.512841,12,,6.1,8,294,0.076,0.7039,,0.7035,,,,,,,,,,,,,,,,,,,,
BR6,[36],Brevenne,,,,Basalt,WR,SSZ,366,Sm-Nd isochron,"Pin and Paquette, 1997",Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.77,13.6,0.277205882,0.1679,0.512899,9,,6.4,6,217,0.076,0.70412,,0.7037,,,,,,,,,,,,,,,,,,,,
BR3,[36],Brevenne,,,,Gabbro,WR,SSZ,366,Sm-Nd isochron,"Pin and Paquette, 1997",Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.82,9.19,0.306855277,0.1855,0.512022,9,,8,4,320,0.039,0.70421,,0.704,,,,,,,,,,,,,,,,,,,,
BEL1,[36],Brevenne,,,,Gabbro,WR,SSZ,366,Sm-Nd isochron,"Pin and Paquette, 1997",Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.38,4.03,0.342431762,0.2064,0.513038,25,,7.3,31,398,0.22,0.70708,,0.7059,,,,,,,,,,,,,,,,,,,,
BR5,[36],Brevenne,,,,Gabbro,WR,SSZ,366,Sm-Nd isochron,"Pin and Paquette, 1997",Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.53,9.14,0.276805252,0.1671,0.512914,12,,6.7,9,404,0.062,0.7043,,0.704,,,,,,,,,,,,,,,,,,,,
DL-145,[37],Dalabute,,,,Gabbro,WR,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.48,6.76,0.366863905,0.2229,0.513153,,0.512611512,8.812725861,0.15,172.3,0.0024,0.706272,,0.706259531,0.23,0.19,0.18,56.706,52.6,,21.078,15.716,39.013,17.962,15.548,37.962,,,,,,,,
DL-161,[37],Dalabute,,,,Basalt,WR,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,1.789,5.502,0.325154489,0.1979,0.5129,,0.512419244,5.058668701,4.449,212.5,0.0606,0.706709,,0.706394148,0.33,0.22,0.07,42.977,13.028,,18.75,15.722,39.154,17.978,15.68,38.358,,,,,,,,
DL-153,[37],Dalabute,,,,Basalt,WR,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.305,7.066,0.32621002,0.1985,0.512905,,0.512422787,5.127835121,1.152,488.6,0.0068,0.705953,,0.70591767,0.31,0.22,0.08,47.045,15.952,,18.514,15.593,38.559,17.569,15.542,37.687,,,,,,,,
DL-159,[37],Dalabute,,,,Basalt,WR,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.365,7.223,0.327426277,0.1993,0.5129,,0.512415843,4.992263686,34.12,109,0.9064,0.70941,,0.704700728,0.42,0.21,0.11,32.278,17.279,,18.449,15.591,38.538,17.425,15.536,37.94,,,,,,,,
DL-158,[37],Dalabute,,,,Basalt,WR,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.362,7.124,0.331555306,0.2018,0.512883,,0.51239277,4.541755882,28.34,263.9,0.311,0.707136,,0.705520175,0.26,0.24,0.06,60.535,13.527,,18.387,15.599,38.837,17.585,15.555,37.716,,,,,,,,
DL-144,[37],Dalabute,,,,Gabbro,WR,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,1.587,4.206,0.377318117,0.2296,0.512904,,0.512346236,3.633169995,3.325,569.3,0.0169,0.705578,,0.705490195,0.63,0.23,0.07,23.392,7.169,,18.383,15.622,38.477,17.958,15.599,38.044,,,,,,,,
DL-137,[37],Dalabute,,,,Gabbro,WR,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.777,10.37,0.267791707,0.163,0.51294,,0.512544026,7.495056561,13.13,448.5,0.0848,0.704508,,0.704067415,2.4,1.1,0.19,29.949,4.893,,18.221,15.585,38.407,17.932,15.569,37.852,,,,,,,,
DL-137-pl,[37],Dalabute,,,,Plagioclase,Plagioclase,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,,,#DIV/0!,,,,,,,,,,,,4.52,0.28,0.3,4.028,4.177,,18.194,15.546,38.069,17.946,15.533,37.995,,,,,,,,
DL-139,[37],Dalabute,,,,Basalt,WR,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,3.665,12.37,0.296281326,0.1803,0.512881,,0.512443,5.522496904,3.1,550.5,0.0163,0.705503,,0.705418312,2.4,0.8,0.16,21.81,4.158,,18.184,15.566,38.314,17.938,15.553,37.91,,,,,,,,
DL-150,[37],Dalabute,,,,Basalt,WR,MOR,371,"U-Pb, Sm-Nd isochron, biostratigraphy","Gu et al. 2009; Zhang and Huang, 1992; Xiao et al. 1992",CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.143,6.394,0.335157961,0.204,0.512921,,0.512425426,5.179360552,34.52,84.95,1.1767,0.709621,,0.703507363,0.88,0.21,0.06,15.407,3.959,,18.122,15.56,38.258,17.888,15.547,37.972,,,,,,,,
DA12-2,[25],Darrehanjir,Darrehanjir,,,leucogabbro,WR,SSZ,380,U-Pb,Moghadam et al. 2015,Cimmerides,Paleo-Tethys,Cimmerian,Syn-Godwana and Pre-Pangea,0.21,1.3,0.16,0.097257,0.512925,,0.512683,10.29,27.9,1323.9,0.060964,0.706204,,0.705874,0.3,0.2,0.1,,,,18.1741,15.5705,38.047,16.9008,15.5015,37.2246,,,,,,,,
DA12-12,[25],Darrehanjir,Darrehanjir,,,gabbro,WR,SSZ,380,U-Pb,Moghadam et al. 2015,Cimmerides,Paleo-Tethys,Cimmerian,Syn-Godwana and Pre-Pangea,0.74,2.07,0.36,0.214962,0.512925,,0.51239,4.56,14.01,946.5,0.04282,0.706319,,0.706087,0.28,0.02,0.04,,,,18.1869,15.3892,37.5343,17.5986,15.3573,37.4393,,,,,,,,
DA12-19,[25],Darrehanjir,Darrehanjir,,,ferrodiorite,WR,SSZ,380,U-Pb,Moghadam et al. 2015,Cimmerides,Paleo-Tethys,Cimmerian,Syn-Godwana and Pre-Pangea,2.53,8.2,0.31,0.185761,0.512815,,0.512353,3.83,8,790.2,0.029287,0.706072,,0.705914,0.4,0.2,0.1,,,,18.4132,15.6037,38.2444,17.4522,15.5516,37.6236,,,,,,,,
D1,[38],Darbut,,,,Basalt,WR,OIB,370,U-Pb,Yang et al. 2012,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,9.61622807,,,,,,0.702888158,,,,,,,,,,,,,,,,,,,,
D2,[38],Darbut,,,,Basalt,WR,OIB,370,U-Pb,Yang et al. 2012,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,8.589153171,,,,,,0.703055921,,,,,,,,,,,,,,,,,,,,
D3,[38],Darbut,,,,Basalt,WR,OIB,370,U-Pb,Yang et al. 2012,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,4.790148448,,,,,,0.703539474,,,,,,,,,,,,,,,,,,,,
D4,[38],Darbut,,,,Basalt,WR,OIB,370,U-Pb,Yang et al. 2012,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,7.815452092,,,,,,0.703578947,,,,,,,,,,,,,,,,,,,,
D5,[38],Darbut,,,,Basalt,WR,OIB,370,U-Pb,Yang et al. 2012,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,8.789811066,,,,,,0.703578947,,,,,,,,,,,,,,,,,,,,
D6,[38],Darbut,,,,Basalt,WR,OIB,370,U-Pb,Yang et al. 2012,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,8.73675776,,,,,,0.703786184,,,,,,,,,,,,,,,,,,,,
D7,[38],Darbut,,,,Basalt,WR,OIB,370,U-Pb,Yang et al. 2012,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,8.325067476,,,,,,0.703953947,,,,,,,,,,,,,,,,,,,,
D8,[38],Darbut,,,,Basalt,WR,OIB,370,U-Pb,Yang et al. 2012,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,9.710273279,,,,,,0.703884868,,,,,,,,,,,,,,,,,,,,
D9,[38],Darbut,,,,Basalt,WR,OIB,370,U-Pb,Yang et al. 2012,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,9.709176788,,,,,,0.704013158,,,,,,,,,,,,,,,,,,,,
98-1,[39],Careon,,,,Dolerite,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.04,12.5,0.3232,0.1959,0.513102 Â± 8,8,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
98-4,[39],Careon,,,,Dolerite,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.64,11.4,0.319298246,0.1934,0.513100 Â± 8,8,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,
98-7,[39],Careon,,,,Dolerite,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.31,11.3,0.292920354,0.1768,0.513015 Â± 8,8,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL,[39],Careon,,,,Dolerite,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.02,17.36,0.289170507,0.1746,0.512961,6,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
87-43,[39],Careon,,,,Dolerite,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.06,17.7,0.285875706,0.1729,0.51297,7,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
87-44,[39],Careon,,,,Dolerite,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.15,18.1,0.284530387,0.1722,0.512966,8,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
87-46,[39],Careon,,,,Dolerite,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.72,11.1,0.245045045,0.1481,0.512908,10,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
LGB,[39],Careon,,,,Cumulate gabbro,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,10.4,42.7,0.243559719,0.1469,0.51286,6,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
87-47,[39],Careon,,,,Cumulate gabbro,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,6,40.6,0.147783251,0.0892,0.512728,8,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
87-48,[39],Careon,,,,Cumulate gabbro,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.16,3.1,0.374193548,0.2257,0.513126,7,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
98-2,[39],Careon,,,,Cumulate gabbro,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.86,16.3,0.298159509,0.1805,0.51296,8,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
98-3,[39],Careon,,,,Cumulate gabbro,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,11.3,37.2,0.303763441,0.1842,0.512984,7,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
98-5,[39],Careon,,,,Cumulate gabbro,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.13,7.07,0.301272984,0.1823,0.513029,9,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
98-6,[39],Careon,,,,Cumulate gabbro,WR,SSZ,395,U-Pb,Pin et al. 2002,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.19,7.5,0.292,0.1769,0.512915,8,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,[40],Lizard Complex,,,,Dolerite,WR,MOR,375,Sm-Nd isochron,Davies et al. 1984,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.11,9.53,0.32633788,0.198,0.513095,14,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,[40],Lizard Complex,,,,Dolerite,WR,MOR,375,Sm-Nd isochron,Davies et al. 1984,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.17,9.46,0.335095137,0.203,0.513241,20,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,
P11b,[40],Lizard Complex,,,,Dolerite,WR,MOR,375,Sm-Nd isochron,Davies et al. 1984,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.99,5.94,0.335016835,0.203,0.513157,24,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
CV2,[40],Lizard Complex,,,,Dolerite,WR,MOR,375,Sm-Nd isochron,Davies et al. 1984,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.02,6,0.336666667,0.202,0.513206,20,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,[40],Lizard Complex,,,,Dolerite,WR,MOR,375,Sm-Nd isochron,Davies et al. 1984,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.17,16.7,0.249700599,0.151,0.512966,14,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,[40],Lizard Complex,,,,Dolerite,WR,MOR,375,Sm-Nd isochron,Davies et al. 1984,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.57,8.96,0.286830357,0.174,0.513035,14,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
P11a,[40],Lizard Complex,,,,Dolerite,WR,MOR,375,Sm-Nd isochron,Davies et al. 1984,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,7.52,26.5,0.283773585,0.171,0.513038,12,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7G,[41],Central-Sudetic Ophiolite,Sleza,,,Gabbro,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2721,,,,8.1,,,,,,0.7021,,,,,,,,,,,,,,,,,,,,
18G,[41],Central-Sudetic Ophiolite,Sleza,,,Gabbro,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2792,,,,8.2,,,,,,0.7021,,,,,,,,,,,,,,,,,,,,
Braz,[41],Central-Sudetic Ophiolite,Sleza,,,Gabbro,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.296,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
IPEG,[41],Central-Sudetic Ophiolite,Sleza,,,Gabbro,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.3075,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
II/21X,[41],Central-Sudetic Ophiolite,Sleza,,,Basalt,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.204,,,,8.7,,,,,,0.7019,,,,,,,,,,,,,,,,,,,,
IV/212X,[41],Central-Sudetic Ophiolite,Sleza,,,Basalt,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2102,,,,8.7,,,,,,0.7036,,,,,,,,,,,,,,,,,,,,
NR1,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Anorthosite,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2152,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
NR4,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Gabbro,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.3059,,,,7.8,,,,,,0.7026,,,,,,,,,,,,,,,,,,,,
NR8,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Gabbro,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2633,,,,8.1,,,,,,0.7028,,,,,,,,,,,,,,,,,,,,
NR9,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Gabbro,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.221,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
NR14,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Anorthosite,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.1916,,,,8.5,,,,,,0.7026,,,,,,,,,,,,,,,,,,,,
WOL,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Gabbro,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2406,,,,8.4,,,,,,0.7024,,,,,,,,,,,,,,,,,,,,
NR6,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Basalt,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2095,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
NR7,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Basalt,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2091,,,,8.4,,,,,,0.7051,,,,,,,,,,,,,,,,,,,,
NR11,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Basalt,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2177,,,,8.4,,,,,,0.703,,,,,,,,,,,,,,,,,,,,
NR13,[41],Central-Sudetic Ophiolite,Nowa Ruda,,,Basalt,,SSZ,400,U-Pb,Awdankiewicz et al. 2020,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2062,,,,8.1,,,,,,0.7028,,,,,,,,,,,,,,,,,,,,
Iz2,[42],Morais,,,,Metabasite,,MOR,405,U-Pb,Pin et al. 2006,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.84,11.2,0.342857143,0.2066,0.513117,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Iz3,[42],Morais,,,,Metabasite,,MOR,405,U-Pb,Pin et al. 2006,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.97,15.6,0.382692308,0.2055,0.513107,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Iz4,[42],Morais,,,,Metabasite,,MOR,405,U-Pb,Pin et al. 2006,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.2,8.93,0.358342665,0.2168,0.513132,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Iz5,[42],Morais,,,,Metabasite,,MOR,405,U-Pb,Pin et al. 2006,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.32,12.8,0.3375,0.2085,0.513132,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
