Reference,Ophiolite,Location/Unit,Sample,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
"Jacobsen and Wasserburg, 1979",Bay of Islands,,BOI-62B-TR-B,,,Gabbro,WR,SSZ,505,Appalachian,Iapetus,,Syn-Godwana and Pre-Pangea,,,,0.2734,0.512445,24,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacobsen and Wasserburg, 1979",Bay of Islands,,BMD-7-CPX,,,Gabbro,Cpx,SSZ,505,Appalachian,Iapetus,,Syn-Godwana and Pre-Pangea,,,,0.30765,0.512588,23,,7.3,,,0.0172,0.70285,3,,,,,,,,,,,,,,,,,,,,,
"Jacobsen and Wasserburg, 1979",Bay of Islands,,BMD-7-PLAG,,,Gabbro,Plagioclase,SSZ,505,Appalachian,Iapetus,,Syn-Godwana and Pre-Pangea,,,,0.09914,0.511906,25,,7.5,,,0.004035,0.70275,2,,,,,,,,,,,,,,,,,,,,,
Zagorevski et al. 2010,Long Lake,,RAX01071,,,Mafic tuff,WR,SSZ,506,Appalachian,Iapetus,Exploits,Syn-Godwana and Pre-Pangea,8.65,36.98,,0.1414,0.512673,,0.5122,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,
Zagorevski et al. 2010,Long Lake,,RAX01091,,,Mafic tuff,WR,SSZ,506,Appalachian,Iapetus,Exploits,Syn-Godwana and Pre-Pangea,6.33,21.08,,0.1815,0.512935,,0.5123,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL20,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.204,0.513043,9,0.512361,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL23,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.206,0.513025,6,0.512336,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL26,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.199,0.513096,10,0.512432,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL30,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.166,0.512837,9,0.512283,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL38,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.167,0.512857,12,0.512298,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL112,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.162,0.512843,12,0.512302,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL44,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.163,0.512816,9,0.512271,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL60,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.152,0.512775,8,0.512267,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL47,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.223,0.513125,11,0.5123803,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL58,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.203,0.51307,6,0.512392,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL113,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.203,0.513066,13,0.512388,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL115,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.199,0.51302,9,0.512355,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL59,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.193,0.513071,10,0.512425,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL65,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.16,0.512748,15,0.512214,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL122,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.161,0.512658,10,0.51212,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL124,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.157,0.512604,8,0.512079,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL128,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.169,0.512645,9,0.51208,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL129,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.169,0.512675,9,0.51211,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,96KL130,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.16,0.512637,9,0.512102,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL32,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.213,0.513071,10,0.512358,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al. 2005,Kudi,,KL108,,,Basalt,,SSZ,510,QQK,Qilian-Shangdan,Kunlun,Syn-Godwana and Pre-Pangea,,,,0.204,0.512926,9,0.512244,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,12LJ-19,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,2.55,8.17,,0.1977,0.512815,,,3.4,0.93,165.8,0.0158,0.705552,,0.70543,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,12LJ-20,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,2.41,7.77,,0.197,0.512861,,,4.3,1.8,90.6,0.056,0.705374,,0.70495,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,13QLS-78,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,2.61,9.2,,0.1802,0.513021,,,8.6,6.81,453.8,0.0424,0.705613,,0.7053,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,13QLS-96,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,4.32,17.63,,0.1555,0.512916,,,8.2,27.88,325.8,0.2417,0.708084,,0.70628,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,13QLS-105,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,3.08,10.87,,0.1801,0.513034,,,8.9,1.5,437.8,0.0097,0.707115,,0.70704,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,13QLS-111,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,4.01,13.86,,0.1834,0.512996,,,7.9,6.18,419.6,0.0416,0.704649,,0.70434,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,12LJ-28,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,6.3,29.98,,0.1334,0.512466,,,0.9,18.3,504.6,0.1024,0.705622,,0.70486,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,12LJ-29,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,5.95,28.22,,0.1338,0.512418,,,-0.1,11.99,489.2,0.0693,0.705543,,0.70502,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,12LJ-36,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,6.14,29.24,,0.1332,0.512505,,,1.7,16.07,576.6,0.0787,0.706013,,0.70542,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,13QLS-115,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,2.66,10.46,,0.1612,0.512787,,,5.3,0.39,19.14,0.0578,0.703854,,0.70342,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2017,Lajishan-Yongjing,,13QLS-116,,,,WR,OPB,525,QQK,Qilian-Shangdan,Qilian,Syn-Godwana and Pre-Pangea,3.02,11.78,,0.1628,0.512795,,,5.4,0.51,40.94,0.035,0.706623,,0.70636,,,,,,,,,,,,,,,,,,,,
Hou et al. 2006,Yushigou,,WQ-257,,,,,MOR,550,QQK,Qilian-Shangdan,Qilian,Pre-Gondwana,2.93,9.39,,0.1886,0.512955,,0.512275384,6.762422735,0.63,44.9,0.0404,0.706,,0.70568,,,,,,,20.562,15.743,35.53,17.998,15.593,37.909,,,,,,,,
Hou et al. 2006,Yushigou,,WQ-259,,,,,MOR,550,QQK,Qilian-Shangdan,Qilian,Pre-Gondwana,3.66,11.36,,0.1953,0.512958,,0.512254241,6.349410626,0.44,120.7,0.0104,0.7053,,0.70522,,,,,,,18.812,15.584,38.511,17.606,15.514,37.431,,,,,,,,
Hou et al. 2006,Yushigou,,WQ-255,,,,,MOR,550,QQK,Qilian-Shangdan,Qilian,Pre-Gondwana,5.93,18.03,,0.1992,0.512967,,0.512249187,6.250694628,1.57,292.9,0.0154,0.70546,,0.70534,,,,,,,18.456,15.556,38.23,17.684,15.511,37.484,,,,,,,,
Hou et al. 2006,Yushigou,,WQ-254,,,,,MOR,550,QQK,Qilian-Shangdan,Qilian,Pre-Gondwana,3.56,11.03,,0.1955,0.512958,,0.51225352,6.335332598,1.6,398.8,0.0118,0.70513,,0.70504,,,,,,,18.082,15.537,38.068,17.47,15.501,37.374,,,,,,,,
Hou et al. 2006,Yushigou,,WQ-258,,,,,MOR,550,QQK,Qilian-Shangdan,Qilian,Pre-Gondwana,3.4,10.46,,0.1971,0.512978,,0.512267755,6.613387394,1.35,366.8,0.0105,0.70509,,0.705,,,,,,,18.054,15.537,38.116,17.348,15.495,37.291,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,SE10c,,,Basalt,,MOR,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.269363,0.513323,13,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,SE3,,,Basalt,,MOR,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.248041,0.51319,15,,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,DV20.2,,,Basalt,,MOR,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.283536,0.513373,9,,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,SE1b,,,Basalt,,MOR,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.263825,0.513317,8,,8.54,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,SE2,,,Basalt,,MOR,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.253542,0.513236,5,,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,DV001,,,Basalt,,,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.128165,0.512716,10,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,DV100,,,Basalt,,,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.135882,0.512744,8,,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,IS6A,,,Basalt,,,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.127753,0.512711,10,,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,IS1a,,,Basalt,,,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.125922,0.512711,10,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,IS2,,,Basalt,,,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.125729,0.51271,8,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,112,,,Basalt,,,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.132547,0.512711,8,,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,114A,,,Basalt,,,550,Appalachian,Iapetus,Humber,Pre-Gondwana,,,,0.11481,0.512648,13,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,DV001,,,Basalt,,Alkaline,550,Gondwanides,Appalachian,Iapetus,Humber,,,,0.128165,0.512716,10,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,DV100,,,Basalt,,Alkaline,550,Gondwanides,Appalachian,Iapetus,Humber,,,,0.135882,0.512744,8,,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,IS6A,,,Basalt,,Alkaline,550,Gondwanides,Appalachian,Iapetus,Humber,,,,0.127753,0.512711,10,,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,IS1a,,,Basalt,,Alkaline,550,Gondwanides,Appalachian,Iapetus,Humber,,,,0.125922,0.512711,10,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,IS2,,,Basalt,,Alkaline,550,Gondwanides,Appalachian,Iapetus,Humber,,,,0.125729,0.51271,8,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,112,,,Basalt,,Alkaline,550,Gondwanides,Appalachian,Iapetus,Humber,,,,0.132547,0.512711,8,,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive et al. 1997,Chaudiere River Nappe,,114A,,,Basalt,,Alkaline,550,Gondwanides,Appalachian,Iapetus,Humber,,,,0.11481,0.512648,13,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfander et al. 2002,Agardagh,Agardagh,T97A22,,,Basalt,WR,MOR,570,,,,Pre-Gondwana,3.62,9.87,,0.2219,0.513168,,0.51234,8.5,,,,,,,,,,,,,19.11,15.6,38.28,18.19,15.54,37.91,,,,,,,,
Pfander et al. 2002,Agardagh,Agardagh,T97A23,,,Basalt,WR,OIB,570,,,,Pre-Gondwana,6.56,29.9,,0.1328,0.512522,,0.512027,2.4,,,,,,,,,,,,,20.83,15.8,40.37,19.09,15.7,38.69,,,,,,,,
Pfander et al. 2002,Agardagh,Agardagh,T97A41,,,Basalt,WR,MOR,570,,,,Pre-Gondwana,3.26,9.06,,0.2173,0.513114,,0.512303,7.8,,,,,,,,,,,,,19.41,15.55,38.34,19.04,15.53,38.09,,,,,,,,
Pfander et al. 2002,Agardagh,Agardagh,T97A43,,,Basalt,WR,MOR,570,,,,Pre-Gondwana,4.51,12.1,,0.2245,0.513147,,0.512309,7.9,5.77,222.9,0.0749,0.705898,0.70529,0.70529,,,,,,,19,15.66,38.33,18.68,15.64,38.18,,,,,,,,
Pfander et al. 2002,Agardagh,Karachat,T97A39,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,6.63,29.9,,0.1339,0.51271,,0.512211,6,16.5,612.9,0.0778,0.704487,0.703855,0.703855,,,,,,,18.82,15.57,38.34,17.39,15.49,36.24,,,,,,,,
Pfander et al. 2002,Agardagh,Karachat,T97A57,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,1.64,5.01,,0.1975,0.513035,,0.512298,7.7,0.389,177.5,0.0063,0.703311,0.70326,0.70326,,,,,,,18.06,15.51,37.67,17.9,15.5,37.59,,,,,,,,
Pfander et al. 2002,Agardagh,Karachat,T97A58,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,6.07,27.4,,0.134,0.512661,,0.512161,5,13.1,507.8,0.0745,0.704409,0.703804,0.703804,,,,,,,18.43,15.59,38.24,17.52,15.54,37.4,,,,,,,,
Pfander et al. 2002,Agardagh,Karachat,T97A59,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,0.11,0.19,,0.3561,0.513517,,0.512187,5.5,0.292,114.1,0.0074,0.70346,0.7034,0.7034,,,,,,,17.83,15.54,37.62,17.8,15.54,37.52,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T02,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,7.37,36.1,,0.1232,0.512657,,0.512198,5.7,16.9,603.6,0.081,0.70462,0.703963,0.703963,,,,,,,18.21,15.53,37.97,17.69,15.5,37.34,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T04,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,5.99,26.2,,0.1381,0.512651,,0.512136,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T05,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,5.21,23.1,,0.1365,0.512652,,0.512143,4.7,,,,,,,,,,,,,20.68,15.7,40.35,,,,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T07,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,0.126,0.25,,0.3038,0.513298,,0.512163,5.1,8.29,117.3,0.2045,0.7046,0.702938,0.702938,,,,,,,17.77,15.52,37.55,17.7,15.52,37.54,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T14,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,5.96,29.1,,0.1238,0.512482,,0.51202,2.3,23,766,0.0867,0.705774,0.70507,0.70507,,,,,,,18.31,15.61,38.13,17.46,15.56,37.18,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T15,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,6.3,31,,0.1231,0.512461,,0.512001,1.9,11.6,748.9,0.0446,0.705485,0.705123,0.705123,,,,,,,18.36,15.61,38.15,17.99,15.59,37.81,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T16,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,6.74,32.7,,0.1245,0.512626,,0.512162,5,15.7,1024,0.0442,0.704831,0.704472,0.704472,,,,,,,19.43,15.6,39.13,18.46,15.54,38.3,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T18,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,6.27,30.4,,0.1248,0.512651,,0.512185,5.5,27.4,558.2,0.1422,0.704732,0.703577,0.703577,,,,,,,18.84,15.58,38.58,18.18,15.54,37.85,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T20,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,7.13,35.8,,0.1205,0.512656,,0.512207,5.9,11.4,744,0.0442,0.704503,0.704144,0.704144,,,,,,,18.27,15.55,38.03,17.48,15.5,37.06,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T39,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,7.82,36.4,,0.1301,0.512607,,0.512122,4.3,17.7,703.9,0.0729,0.704489,0.703897,0.703897,,,,,,,18.36,15.54,38.09,17.58,15.5,37.25,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T42,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,7.62,35.2,,0.1309,0.512655,,0.512166,5.1,21.9,652.5,0.0971,0.704603,0.703815,0.703815,,,,,,,18.26,15.53,37.97,17.88,15.51,37.55,,,,,,,,
Pfander et al. 2002,Agardagh,Tes-Chem,T97T44,,,Basalt,WR,SSZ,570,,,,Pre-Gondwana,8.28,37.9,,0.1321,0.512645,,0.512153,4.9,14.4,635.2,0.0653,0.704534,0.704003,0.704003,,,,,,,18.69,15.54,38.22,18.27,15.52,37.88,,,,,,,,
Zhang et al. 1995,Mayile,,M1,,,Basalt,WR,OIB,572,CAOB,Paleo-Asian,,Pre-Gondwana,,,,,,,,6.823687975,,,,,,0.703082156,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Mayile,,M2,,,Basalt,WR,OIB,572,CAOB,Paleo-Asian,,Pre-Gondwana,,,,,,,,6.931889387,,,,,,0.703535391,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Mayile,,M3,,,Basalt,WR,OIB,572,CAOB,Paleo-Asian,,Pre-Gondwana,,,,,,,,7.396726687,,,,,,0.703850805,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Mayile,,M4,,,Basalt,WR,OIB,572,CAOB,Paleo-Asian,,Pre-Gondwana,,,,,,,,7.451331828,,,,,,0.704116832,,,,,,,,,,,,,,,,,,,,
Seer et al. 2001,Brasilia,Araxa Group,318c,,,Amphibolite,WR,MOR,596,Brasiliano,Goias-Pharusian,Brasilia,Pre-Gondwana,3.4039,14.179,,0.1664,0.512569,19,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Tassinari et al. 2001,Pirapora do Bom Jesus,,TC Pi-4B A71,,,Basalts,WR,MOR,600,Brasiliano,Adamastor,Ribeira,Pre-Gondwana,2.451,7.386,0.331844029,0.2006,0.512805,10,,2.96,,,,0.705097,10,,,,,,,,,,,,,,,,,,,,,
Tassinari et al. 2001,Pirapora do Bom Jesus,,TC Pi-4A A71,,,Basalts,WR,MOR,600,Brasiliano,Adamastor,Ribeira,Pre-Gondwana,2.375,7.12,0.333567416,0.2017,0.512823,14,,3.23,,,,0.706,918,,,,,,,,,,,,,,,,,,,,,
Tassinari et al. 2001,Pirapora do Bom Jesus,,TC Pi-01 A71,,,Basalts,WR,MOR,600,Brasiliano,Adamastor,Ribeira,Pre-Gondwana,2.721,8.306,0.32759451,0.1981,0.512738,13,,1.84,,,,0.712322,43,,,,,,,,,,,,,,,,,,,,,
Tassinari et al. 2001,Pirapora do Bom Jesus,,TC Pi-4C A71,,,Basalts,WR,MOR,600,Brasiliano,Adamastor,Ribeira,Pre-Gondwana,2.538,7.218,0.351620948,0.2126,0.512878,15,,3.47,,,,0.706505,21,,,,,,,,,,,,,,,,,,,,,
Tassinari et al. 2001,Pirapora do Bom Jesus,,TC Pi-4E A71,,,Basalts,WR,MOR,600,Brasiliano,Adamastor,Ribeira,Pre-Gondwana,2.49,7.468,0.333422603,0.2016,0.512804,19,,2.86,,,,0.705664,21,,,,,,,,,,,,,,,,,,,,,
Tassinari et al. 2001,Pirapora do Bom Jesus,,TC Pi-4D A71,,,Basalts,WR,MOR,600,Brasiliano,Adamastor,Ribeira,Pre-Gondwana,2.53,7.669,0.329899596,0.1995,0.512797,17,,2.89,,,,0.705423,42,,,,,,,,,,,,,,,,,,,,,
Will et al. 2014,Marmora Terrane,Grootderm Formation,GD12,-28.21666667,16.65833333,Metabasalt,WR,OIB,630,Gondwanides,Adamastor,West Gondwana,Pre-Gondwana,9.23,40.6,,0.13732,0.5126,,0.51203,3.99,0.12,926,,0.70309,,0.70309,2.3,2.96,0.83,,,,21.8109,15.7866,41.4325,19.142,15.6265,38.4761,,,,,,,,
Will et al. 2014,Marmora Terrane,Grootderm Formation,GD28,-28.25,16.695,Metabasalt,WR,OIB,630,Gondwanides,Adamastor,West Gondwana,Pre-Gondwana,6.09,24.9,,0.14773,0.51265,,0.51204,4.26,1.8,551,,0.70303,,0.70294,1.75,1.43,0.45,,,,21.0453,15.7313,40.3666,19.1435,15.6173,38.4895,,,,,,,,
Will et al. 2014,Marmora Terrane,Grootderm Formation,GD35,-28.265,16.68666667,Metabasalt,WR,OIB,630,Gondwanides,Adamastor,West Gondwana,Pre-Gondwana,5.46,22.4,,0.14723,0.51267,,0.51206,4.58,2.98,421,,0.70304,,0.70285,1.3,1.25,0.42,,,,21.0857,15.7311,40.5703,18.6963,15.5878,38.3614,,,,,,,,
Will et al. 2014,Marmora Terrane,Grootderm Formation,GD40,-28.265,16.68666667,Metabasalt,WR,OIB,630,Gondwanides,Adamastor,West Gondwana,Pre-Gondwana,9.07,38.6,,0.14193,0.51263,,0.51205,4.28,0.5,371,,0.70296,,0.70293,1.7,2.26,0.66,,,,22.3482,15.8095,41.9066,19.4769,15.6373,38.8527,,,,,,,,
Will et al. 2014,Marmora Terrane,Grootderm Formation,GD43,-28.265,16.68666667,Metabasalt,WR,OIB,630,Gondwanides,Adamastor,West Gondwana,Pre-Gondwana,7,30.2,,0.14001,0.51262,,0.51204,4.14,6.87,367,,0.70334,,0.70285,1.42,1.92,0.57,,,,21.8735,15.7895,41.4371,18.9048,15.6115,38.331,,,,,,,,
Will et al. 2014,Marmora Terrane,Grootderm Formation,GD47,-28.265,16.68666667,Metabasalt,WR,OIB,630,Gondwanides,Adamastor,West Gondwana,Pre-Gondwana,5.53,22.8,,0.1465,0.51265,,0.51205,4.34,0.79,891,,0.70393,,0.70391,1.6,1.35,0.41,,,,20.6768,15.7462,40.3355,18.7816,15.6325,38.3972,,,,,,,,
Will et al. 2014,Marmora Terrane,Grootderm Formation,GD61,-28.23833333,16.66166667,Metabasalt,WR,OIB,630,Gondwanides,Adamastor,West Gondwana,Pre-Gondwana,4.89,20.2,,0.14622,0.51265,,0.51205,4.29,0.25,972,,0.70326,,0.70325,2.37,1.28,0.38,,,,20.1668,15.7061,39.7641,18.981,15.635,38.5234,,,,,,,,
