Reference,Ophiolite,Location/Unit,Sample,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
Rolland et al. 2009,Sevan,,G142,,,,WR,OIB,117,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.12176,0.51267,8,,3.26,,,0.6276,0.6276,1,0.70543,,,,54.4859,18.2699,0.1342,19.1457,15.5681,39.1236,18.8478,15.5536,38.8401,,,,,,,,
Rolland et al. 2009,Sevan,,AR-05-80,,,,WR,OIB,117,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.11619,0.51269,8,,3.7,,,0.392,0.392,11,0.70349,,,,56.9259,12.7305,0.0935,18.61,15.5803,38.6686,18.4024,15.5702,38.3724,,,,,,,,
Rolland et al. 2009,Stepanavan,,AR-03-53,,,,WR,SSZ,117,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.12767,0.51261,1,,2.05,,,0.2974,0.2974,11,0.70498,,,,155.9984,36.8567,0.2707,19.2349,15.5901,39.5224,18.6339,15.5609,38.7107,,,,,,,,
Rolland et al. 2009,Stepanavan,,AR-04-05,,,,WR,SSZ,117,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.13822,0.51265,6,,2.86,,,0.1109,0.1109,9,0.70551,,,,138.024,34.3464,0.2523,19.2791,15.5926,39.6069,18.719,15.5654,38.8887,,,,,,,,
Rolland et al. 2009,Vedi,,AR-05-104,,,,WR,OIB,117,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.1279,0.51262,8,,2.3,,,0.0327,0.0327,9,0.70448,,,,252.2401,62.4439,0.4587,20.6925,15.6653,40.6747,19.6744,15.6158,39.3623,,,,,,,,
Rolland et al. 2009,Vedi,,AR-05-78,,,,WR,OIB,117,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.15218,0.51271,11,,4.01,,,0.6009,0.6009,1,0.70338,,,,89.804,26.8011,0.1968,19.2867,15.5651,39.2226,18.8497,15.5439,38.7553,,,,,,,,
Rolland et al. 2009,Vedi,,AR-04-75,,,,WR,OIB,117,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.12781,0.51268,37,,3.39,,,0.7208,0.7208,5,0.70427,,,,,,,,,,,,,,,,,,,,
Mahoney et al. 1998,Masirah,,MSX-29E -L,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,5.605 ,25.39 ,,0.1335 ,0.512897 ,,,6.0 ,20.3 ,330.0 ,0.1777 ,0.70314 ,,0.70284 ,1.508 ,4.32 ,0.872 ,195 ,38.0 ,,19.709 ,15.592 ,39.842 ,18.995 ,15.557 ,38.683 ,,,,,,,,
Mahoney et al. 1998,Masirah,,MSX-219E -L,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,4.364 ,15.45 ,,0.1708 ,0.512881 ,,,5.1 ,0.690 ,67.69 ,0.0295 ,0.70435 ,,0.70430 ,,,,,,,,,,,,,,,,,,,,
Mahoney et al. 1998,Masirah,,MSX-222E -L,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,,,,,,,,,105 ,698.8 ,0.4342 ,0.70455 ,,0.70381 ,,,,,,,,,,,,,,,,,,,,
Mahoney et al. 1998,Masirah,,F-54E -U,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,2.786 ,20.38 ,,0.0826 ,0.512700 ,,,2.9 ,,,,,,,3.041 ,18.7 ,3.41 ,413 ,73.0 ,,19.189 ,15.514 ,39.662 ,17.818 ,15.448 ,37.200 ,,,,,,,,
Mahoney et al. 1998,Masirah,,F-70E -U,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,5.240 ,24.96 ,,0.1269 ,0.512845 ,,,5.1 ,,,,,,,1.121 ,2.71 ,0.813 ,162 ,47.2 ,,19.838 ,15.602 ,39.268 ,18.951 ,15.559 ,38.303 ,,,,,,,,
Mahoney et al. 1998,Masirah,,I-669E -U,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,6.610 ,40.24 ,,0.0993 ,0.512819 ,,,5.0 ,,,,,,,2.168 ,6.69 ,1.33 ,208 ,40.0 ,,19.562 ,15.599 ,39.742 ,18.810 ,15.563 ,38.503 ,,,,,,,,
Mahoney et al. 1998,Masirah,,J-53E -U,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,13.97 ,70.56 ,,0.1196 ,0.512732 ,,,3.0 ,,,,,,,2.461 ,7.15 ,1.19 ,196 ,31.6 ,,19.427 ,15.561 ,39.506 ,18.833 ,15.532 ,38.340 ,,,,,,,,
Mahoney et al. 1998,Masirah,,J-179E -U,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,5.770 ,28.66 ,,0.1217 ,0.512873 ,,,5.7 ,,,,,,,0.829 ,4.45 ,0.834 ,367 ,65.3 ,,18.939 ,15.518 ,39.639 ,17.712 ,15.459 ,37.451 ,,,,,,,,
